INITIAL SCAN (UNSORTED DATA)
Houck      Bradley    Computer_Services     18.24       Blue
Leky       Evan       Accounting             8.96       Blue
Feldman    Dale       Sales                  9.57       Hazel
Delony     Jared      Accounting            11.31       Blue
Shahid     Nafis      Sales                 16.27       Hazel
Tharpa     Karna      Computer_Services     22.01       Blue
Gibbs      Kevin      Sales                 19.26       Blue
Miller     David      Management             6.72       Steel
Morin      Erik       Management            17.35       Gray
Delony     Jared      Hacker                45.44       Green
Sanchez    Joseph     Manufacturing         12.22       Blue
Thorell    Tyler      Manufacturing          1.34       Blue
Hess       Christian  Sales                 30.00       Hazel
Funk       Charles    Computer_Services     15.21       Green
Dees       Taylor     Water_Sports          53.34       Brown
Morin      Erik       Accounting             8.96       Green
Sande      Brandon    Customer_Service      78.93       Blue
Sanches    John       Sales                 16.27       Hazel
Rocha      Serigo     Computer_Services     22.01       Blue
Liu        Yanxin     Accounting            11.11       Blue
Couture    Jason      Sales                 19.26       Blue
Cleek      Jillian    Management             6.72       Steel
Leung      Franklin   Shipping               3.22       Steel
Rana       Ritish     Water_Sports          53.34       Brown
Hodges     Montana    Hacker                78.33       Hazel

SORTED DATA USING NORMAL SORT
Leky       Evan       Accounting             8.96       Blue
Delony     Jared      Accounting            11.31       Blue
Morin      Erik       Accounting             8.96       Green
Liu        Yanxin     Accounting            11.11       Blue
Houck      Bradley    Computer_Services     18.24       Blue
Tharpa     Karna      Computer_Services     22.01       Blue
Funk       Charles    Computer_Services     15.21       Green
Rocha      Serigo     Computer_Services     22.01       Blue
Sande      Brandon    Customer_Service      78.93       Blue
Delony     Jared      Hacker                45.44       Green
Hodges     Montana    Hacker                78.33       Hazel
Miller     David      Management             6.72       Steel
Morin      Erik       Management            17.35       Gray
Cleek      Jillian    Management             6.72       Steel
Sanchez    Joseph     Manufacturing         12.22       Blue
Thorell    Tyler      Manufacturing          1.34       Blue
Feldman    Dale       Sales                  9.57       Hazel
Shahid     Nafis      Sales                 16.27       Hazel
Gibbs      Kevin      Sales                 19.26       Blue
Hess       Christian  Sales                 30.00       Hazel
Sanches    John       Sales                 16.27       Hazel
Couture    Jason      Sales                 19.26       Blue
Leung      Franklin   Shipping               3.22       Steel
Dees       Taylor     Water_Sports          53.34       Brown
Rana       Ritish     Water_Sports          53.34       Brown

SORTED DATA USING POINTER SORT
Leky       Evan       Accounting             8.96       Blue
Delony     Jared      Accounting            11.31       Blue
Morin      Erik       Accounting             8.96       Green
Liu        Yanxin     Accounting            11.11       Blue
Houck      Bradley    Computer_Services     18.24       Blue
Tharpa     Karna      Computer_Services     22.01       Blue
Funk       Charles    Computer_Services     15.21       Green
Rocha      Serigo     Computer_Services     22.01       Blue
Sande      Brandon    Customer_Service      78.93       Blue
Delony     Jared      Hacker                45.44       Green
Hodges     Montana    Hacker                78.33       Hazel
Miller     David      Management             6.72       Steel
Morin      Erik       Management            17.35       Gray
Cleek      Jillian    Management             6.72       Steel
Sanchez    Joseph     Manufacturing         12.22       Blue
Thorell    Tyler      Manufacturing          1.34       Blue
Feldman    Dale       Sales                  9.57       Hazel
Shahid     Nafis      Sales                 16.27       Hazel
Gibbs      Kevin      Sales                 19.26       Blue
Hess       Christian  Sales                 30.00       Hazel
Sanches    John       Sales                 16.27       Hazel
Couture    Jason      Sales                 19.26       Blue
Leung      Franklin   Shipping               3.22       Steel
Dees       Taylor     Water_Sports          53.34       Brown
Rana       Ritish     Water_Sports          53.34       Brown

SORTED DATA USING RELATIVE ADDRESSING SORT
Leky       Evan       Accounting             8.96       Blue
Delony     Jared      Accounting            11.31       Blue
Morin      Erik       Accounting             8.96       Green
Liu        Yanxin     Accounting            11.11       Blue
Houck      Bradley    Computer_Services     18.24       Blue
Tharpa     Karna      Computer_Services     22.01       Blue
Funk       Charles    Computer_Services     15.21       Green
Rocha      Serigo     Computer_Services     22.01       Blue
Sande      Brandon    Customer_Service      78.93       Blue
Delony     Jared      Hacker                45.44       Green
Hodges     Montana    Hacker                78.33       Hazel
Miller     David      Management             6.72       Steel
Morin      Erik       Management            17.35       Gray
Cleek      Jillian    Management             6.72       Steel
Sanchez    Joseph     Manufacturing         12.22       Blue
Thorell    Tyler      Manufacturing          1.34       Blue
Feldman    Dale       Sales                  9.57       Hazel
Shahid     Nafis      Sales                 16.27       Hazel
Gibbs      Kevin      Sales                 19.26       Blue
Hess       Christian  Sales                 30.00       Hazel
Sanches    John       Sales                 16.27       Hazel
Couture    Jason      Sales                 19.26       Blue
Leung      Franklin   Shipping               3.22       Steel
Dees       Taylor     Water_Sports          53.34       Brown
Rana       Ritish     Water_Sports          53.34       Brown
